Transcript	seqnames	strand	Position	Read	TP40M
AT1G12090.1	Chr1	-	4090128	1	6.63456312148233
AT1G12090.1	Chr1	-	4090092	3	19.903689364447
AT1G12090.1	Chr1	-	4090089	2	13.2691262429647
AT1G12090.1	Chr1	-	4090047	2	13.2691262429647
AT1G12090.1	Chr1	-	4089950	1	6.63456312148233
AT1G12090.1	Chr1	-	4089942	3	19.903689364447
AT1G12090.1	Chr1	-	4089899	6	39.807378728894
AT1G12090.1	Chr1	-	4089897	10	66.3456312148233
AT1G12090.1	Chr1	-	4089896	2	13.2691262429647
AT1G12090.1	Chr1	-	4089891	82	544.034175961552
AT1G12090.1	Chr1	-	4089890	3	19.903689364447
AT1G12090.1	Chr1	-	4089887	1	6.63456312148233
AT1G12090.1	Chr1	-	4089884	2	13.2691262429647
AT1G12090.1	Chr1	-	4089883	1	6.63456312148233
AT1G12090.1	Chr1	-	4089880	3	19.903689364447
AT1G12090.1	Chr1	-	4089877	1	6.63456312148233
AT1G12090.1	Chr1	-	4089871	1	6.63456312148233
AT1G12090.1	Chr1	-	4089829	1	6.63456312148233
AT1G12090.1	Chr1	-	4089827	2	13.2691262429647
AT1G12090.1	Chr1	-	4089817	1	6.63456312148233
AT1G12090.1	Chr1	-	4089803	2	13.2691262429647
AT1G15690.1	Chr1	+	5402314	2	13.2691262429647
AT1G15690.1	Chr1	+	5402335	2	13.2691262429647
AT1G15690.1	Chr1	+	5402337	1	6.63456312148233
AT1G15690.1	Chr1	+	5402350	1	6.63456312148233
AT1G15690.1	Chr1	+	5402352	1	6.63456312148233
AT1G15690.1	Chr1	+	5402353	1	6.63456312148233
AT1G15690.1	Chr1	+	5402354	1	6.63456312148233
AT1G15690.1	Chr1	+	5402355	4	26.5382524859293
AT1G15690.1	Chr1	+	5402356	2	13.2691262429647
AT1G15690.1	Chr1	+	5402357	4	26.5382524859293
AT1G15690.1	Chr1	+	5402358	5	33.1728156074117
AT1G15690.1	Chr1	+	5402359	48	318.459029831152
AT1G15690.1	Chr1	+	5402394	1	6.63456312148233
AT1G15690.1	Chr1	+	5402403	1	6.63456312148233
AT1G15690.1	Chr1	+	5402409	1	6.63456312148233
AT1G15690.1	Chr1	+	5402416	1	6.63456312148233
AT1G15690.1	Chr1	+	5402422	1	6.63456312148233
AT1G15690.1	Chr1	+	5402423	1	6.63456312148233
AT1G15690.1	Chr1	+	5402424	6	39.807378728894
AT1G15690.1	Chr1	+	5402425	15	99.518446822235
AT1G15690.1	Chr1	+	5402426	3	19.903689364447
AT1G15690.1	Chr1	+	5402427	5	33.1728156074117
AT1G15690.1	Chr1	+	5402431	1	6.63456312148233
AT1G15690.1	Chr1	+	5402434	1	6.63456312148233
AT1G15690.1	Chr1	+	5402435	1	6.63456312148233
AT1G15690.1	Chr1	+	5402436	2	13.2691262429647
AT1G15690.1	Chr1	+	5402443	2	13.2691262429647
AT1G15690.1	Chr1	+	5402451	1	6.63456312148233
AT1G15690.1	Chr1	+	5402466	5	33.1728156074117
AT1G15690.1	Chr1	+	5402485	2	13.2691262429647
AT1G15690.1	Chr1	+	5402491	1	6.63456312148233
AT1G15690.1	Chr1	+	5402497	1	6.63456312148233
AT1G15690.1	Chr1	+	5402503	1	6.63456312148233
AT1G15690.1	Chr1	+	5402508	2	13.2691262429647
AT1G15690.1	Chr1	+	5402511	1	6.63456312148233
AT1G15690.1	Chr1	+	5402513	2	13.2691262429647
AT1G15690.1	Chr1	+	5402514	7	46.4419418503763
AT1G15690.1	Chr1	+	5402518	1	6.63456312148233
AT1G15690.1	Chr1	+	5402519	7	46.4419418503763
AT1G15690.1	Chr1	+	5402520	1	6.63456312148233
AT1G15690.1	Chr1	+	5402537	1	6.63456312148233
AT1G15690.1	Chr1	+	5402599	1	6.63456312148233
AT4G27440.1	Chr4	+	13727175	1	6.63456312148233
AT4G27440.1	Chr4	+	13727279	1	6.63456312148233
AT4G27440.1	Chr4	+	13727280	1	6.63456312148233
AT4G27440.1	Chr4	+	13727281	1	6.63456312148233
AT4G27440.1	Chr4	+	13727282	5	33.1728156074117
AT4G27440.1	Chr4	+	13727286	2	13.2691262429647
AT4G27440.1	Chr4	+	13727288	1	6.63456312148233
AT4G27440.1	Chr4	+	13727291	1	6.63456312148233
AT4G27440.1	Chr4	+	13727292	1	6.63456312148233
AT4G27440.1	Chr4	+	13727293	4	26.5382524859293
AT4G27440.1	Chr4	+	13727294	25	165.864078037058
AT4G27440.1	Chr4	+	13727295	47	311.82446670967
AT4G27440.1	Chr4	+	13727299	7	46.4419418503763
AT4G27440.1	Chr4	+	13727311	1	6.63456312148233
AT4G27440.1	Chr4	+	13727314	1	6.63456312148233
AT4G27440.1	Chr4	+	13727315	1	6.63456312148233
AT4G27440.1	Chr4	+	13727325	1	6.63456312148233
AT4G27440.1	Chr4	+	13727327	1	6.63456312148233
AT4G27440.1	Chr4	+	13727347	1	6.63456312148233
AT4G27440.1	Chr4	+	13727348	5	33.1728156074117
AT4G27440.1	Chr4	+	13727350	2	13.2691262429647
AT4G27440.1	Chr4	+	13727351	2	13.2691262429647
AT4G27440.1	Chr4	+	13727352	1	6.63456312148233
AT4G27440.1	Chr4	+	13727353	7	46.4419418503763
AT4G27440.1	Chr4	+	13727355	1	6.63456312148233
AT4G27440.1	Chr4	+	13727372	1	6.63456312148233
AT4G27440.1	Chr4	+	13727412	1	6.63456312148233
